区域,地点,发现物/事件,位置,技能,线索,线索来源,获得,位置-第二步,技能-第二步
东亚,堺,硝石矿脉,右上5右下1,交涉4,,,本地新增交易品【硝石】,,
东亚,堺,回城点,右上2右下7,,,,,,
东亚,日本西部,忍者的义手,上4,有【忍者的义手】,,,装备获得【白刃战登舰速度增加】,,
东亚,日本西部,严岛神社,上9右上5,静间芳隆/泷川天海/人文4,,,,,
东亚,日本西部,安艺国宝藏,上9左上1,,,马六甲道具店,太刀,,
东南亚,嘉定,高棉的微笑,上13左上3,,,,,,
东南亚,嘉定,吴哥窟,上13,人文6+观察6,,,,,
东南亚,嘉定,麝香猫,上9右上6,厨艺5,异香,嘉定驿站,,,
东南亚,嘉定,王莲,上8左上8,感知68,巨大莲叶,嘉定茶馆 贡献800,,,
东南亚,嘉定,和氏璧,左上4左下2,湄公河上游钥匙,,阿吉 招募剧情,特殊物品 少女画像,,
东南亚,嘉定,地下拍卖,上9左上1,,,阿卜杜拉 主线第二章,特殊物品 光明之海,,
东南亚,嘉定,柚木,右下4右上3,,,静间芳隆 主线第二章,,,
东南亚,嘉定,蓝宝石矿脉,上4左上3,财宝4,,,本地新增交易品 蓝宝石,,
东南亚,雅加达,玉佛,下6左下4,医术7,翡翠,雅加达驿站,,左下4左上3,
东南亚,雅加达,眼镜王蛇,下11右下2,生物5+观察7,吞蛇之蛇,雅加达驿站,,,
东南亚,雅加达,大王花,下3左下12,生物5/海伊尔,大王花的线索,巨港解读-《稀有花朵图鉴》,,,
东南亚,雅加达,婆罗浮屠,下4右下4,,,,,,
东南亚,雅加达,乌木森林,下11左下4,身体32+生物3,,,,,
其它,澳州北部,袋熊,左下6左上8,生物6,,,,,
其它,澳州北部,袋鼠,下9左下1,身体28+生物3,跳跃的生物,萨玛赖茶馆 贡献300,,,
其它,澳州北部,极乐鸟,下14左下3,,凤凰仙鸟,漳州解读-《余公案》,,,
其它,澳州北部,乌鲁鲁巨石,下7左下13,交涉5,乌鲁鲁巨石的线索,里斯本解读-《泥塑与神话》,,,
其它,澳州北部,群岛宝藏,下14左下2,,,布直诺斯艾利斯船材商店,金贝项链(掌舵+2 厨艺+1),,
印度洋,加尔各答,科纳拉克太阳神殿+苏利耶战车车轮,左下3左上5,人文5,,,,左下2左上5,选苏利耶
印度洋,加尔各答,白虎,上8右上1,生物7,,,,,
印度洋,加尔各答,孟加拉虎,上10右上8,生物3/玛玛,丛林老虎,巴士拉解读-《漂流的少年》,,,
印度洋,加尔各答,桑林,上7左上5,生物5,,,本地新增交易品 生丝,,
印度洋,加尔各答,回城点,上4左上6,,,,,,
印度洋,锡兰,孔雀,右上8右下3,演奏6,,,,,
印度洋,锡兰,狮子岩,上4右上7,登山钩,山峰宫殿,巴士拉解读-《工匠的书信研究》,,,
印度洋,锡兰,布施锡兰山佛寺碑,上10,,北行,云睦 主线第三章,云睦 专属发现物,,
印度洋,锡兰,红宝石矿脉,右上3右下3,火器5,,,本地新增交易品 红宝石,,
印度洋,锡兰,回城点,上1右上5,,,,,,
印度洋,印度河登陆点,摩亨佐达罗,下2右下4,人文5,摩亨佐达罗的线索,第乌茶馆 贡献300,,,
印度洋,印度河登陆点,王后阶梯井,右上6右下6,人文6,王后阶梯井的线索,巴士拉解读-《旧都研究手册》,,,
印度洋,印度河登陆点,笈多王朝宝藏,上5右上3,,,,,,
印度洋,印度河登陆点,回城点,右上8,,,索法拉装备商店,迦南香手串(造船+3),,
印度洋,霍尔木兹,戈耳狄俄斯之结,左上2左下2,交涉4,不可解绳结,霍尔木兹驿站,戈耳狄俄斯之结(操帆+3),上6左上6,交涉5
印度洋,霍尔木兹,彩虹谷,左上6左下2,地理3,彩虹谷的线素,巴士拉解读-《监狱审讯笔录》,,,
印度洋,霍尔木兹,白银矿脉,上2左上13,技巧48,,,,,
印度洋,霍尔木兹,翼狮角杯,下3左下4,天海/身体36,,,,,
印度洋,霍尔木兹,彩绘陶壶,左下9左上4,财宝5,,,,,
印度洋,霍尔木兹,回城点-中部,左上8左下2,,,,,,
印度洋,霍尔木兹,回城点-北部,上9左上2,,,,,,
印度洋,巴士拉,吉尔伽美什石板,下5左下1,交涉6,石板,巴士拉驿站,,上1左上11,人文6
印度洋,巴士拉,人首翼牛像,左下4左上1,领袖5,,,,,
印度洋,巴士拉,波斯波利斯,上6,人文6,波斯古城,巴士拉解读-《呈王书》,,,
印度洋,巴士拉,乌尔,左下6,人文5,辛的线索,雅典解读-《神创时代》(希伯来语),,,
印度洋,巴士拉,明矾石矿床,左下10,地理3,,,,,
印度洋,马萨瓦,拉利贝拉岩石教堂,下8左下8,,石之教堂,巴士拉解读-《残破的航海日志》,,,
印度洋,马萨瓦,雪松森林,左下4左上3,生物4,,,本地新增交易品 雪松木,,
印度洋,马萨瓦,回城点,下7左下2,,,,,,
印度洋,红海北部,佩特拉古城,上10,地理8/交涉6,佩特拉古城的线索,雅典解读-《帝国巨石》,,,
印度洋,红海北部,汉谟拉比石碑,上7右上7,,汉谟拉比石碑的线索,巴士拉解读-《古巴比伦考察记录》,,,
印度洋,红海北部,奥斯曼军队的宝藏,上5右上9,,,本格拉道具店,阿比西尼亚钩刀(操帆+1),,
印度洋,红海北部,回城点,右上9,,,,,,
印度洋,塔马塔夫,渡渡鸟,左上7,生物7,,,,,
印度洋,塔马塔夫,猴面包树走廊,上2左上2,生物2,难闻白花树,巴士拉解读-《波卢塔的名义》,,,
印度洋,塔马塔夫,黄金矿脉,上8,财宝3,,,,,
印度洋,塔马塔夫,柯那利,左下1下1,,,,新队友 柯纳利,,
非洲西部,圣乔治,非洲象,上5右上7,观察3,,,,,
非洲西部,圣乔治,牙雕,左上2,财宝3,,,,,
非洲西部,圣乔治,伊费圣王铜制头像,上7左上3,,圣王宝藏,里斯本解读-《落魄王子》,带个十字镐 贡献800,,
非洲西部,圣乔治,黄金犀牛,上2右上2,交涉6,金片,圣乔治商业行会,,上5,财宝8
非洲西部,圣乔治,埋骨地,上9右上4,交涉2+观察2,,,本地新增交易品 象牙,,
非洲西部,圣乔治,回城点,上6右上2,,,,,,
非洲西部,非洲西南,陶偶,右上2右下2,交涉3,,,,,
非洲西部,非洲西南,大迁徙,右上5,8月+玛玛,大迁徙,6月 非洲西部任意港口,CG 动物大迁徙,,
非洲西部,非洲西南,河马,下1左下3,生物4,,,,,
非洲西部,非洲西南,狐獴,上8右上3,生物5,丘中小物,阿尔金咖啡馆 贡献500,,,
非洲西部,非洲西南,玫瑰湖,上7左上5,地理3/观察3,紫红色盐湖,汉堡解读-《玫瑰秘闻》,,,
非洲西部,非洲西南,原住民宝藏,上1左上6,,,伦敦道具店,护身戒指(生命+100),,
非洲西部,非洲西南,回城点,上6左上1,,,,,,
地中海,里斯本,埃切尔夫人,右下5,身体20,,,,,
地中海,里斯本,赫尔墨斯之杖,上7右上1,选喝水,双蛇杖的线索,里斯本解读-《两岸的使者》,,,
地中海,里斯本,燧石矿洞,上2右上6,地理2,,,,,
地中海,那不勒斯,路易斯西洋棋,上2右上9,交涉6+学识55,,,,,
地中海,那不勒斯,庞贝,右上1右下2,学识50,古罗马城市,雅典解读-《水道发现报告》,,右上2右下5,
地中海,那不勒斯,古罗马竞技场,上6,,角斗士,里斯本解读-《蛮王》,,,
地中海,那不勒斯,风车,右下4右上5,,,,新队友 安德里亚斯 ,,
地中海,那不勒斯,庄园,上1右上4,迪特琳德+魅力40,,,专属任务 迪特琳德,,
地中海,那不勒斯,明矾石矿床,右下4,地理2,,,本地新增交易品 明矾,,
地中海,雅典,德尔斐神谕,左上9左下3,交涉6,月桂神殿,里斯本解读-《翁法洛斯的宽容》,,,
地中海,雅典,帕特农神庙,上6左上5,技巧22,雅典娜神殿,雅典解读-《明眸女神》,,,
地中海,雅典,硝石矿床,左上7左下1,火器4,,,,,
地中海,克里特,塞壬的竖琴,下12,演奏8,,,塞壬的竖琴(演奏3),,
地中海,克里特,欧弗洛尼奥斯陶瓶,下8右下2,技巧48,陶瓶,克里特酒馆 贡献500,,下9右下5,演奏5
地中海,克里特,米诺斯王宫,下2右下2,修理3,米诺陶洛斯,威尼斯解读-《盲牛》,带个登山钩,右下4右上4,登山钩
地中海,克里特,大理石矿脉,下3右下10,观察3,,,,,
地中海,克里特,回城点,下6右下4,,,,,,
地中海,土鸡西部,陆礼渊,"上1,右上5",,风雅登山士,印度->伊斯坦布尔,新队友 陆礼渊,,
地中海,土鸡西部,土耳其二人组,上1右上1,补给3,,,新队友 穆斯塔法、安纳斯塔西娅,,
地中海,土鸡西部,特洛伊古城遗迹,上6右上3,技巧56,,,,上15,人文8
地中海,土鸡西部,卡帕多西亚,上5右上16,技巧56,卡帕多西亚的线索,伦敦解读-《穴居人》,,,
地中海,土鸡西部,棉花堡,右上6右下6,地理6,棉花堡的线索,雅典解读-《谈话录》,,,
地中海,土鸡西部,罗马大盾,上8右上8,,火中的盾牌,主线第四章，地中海港口,,,
地中海,土鸡西部,罗马军队的宝藏,上7右上8,,,雅典书店, 玉镯项链(掌舵+1 操帆+2),,
地中海,土鸡西部,回城点,上11右上4,,,,,,
地中海,开罗,金字塔,下6左下6,补给10,四方古筑,威尼斯解读-《世界七大奇迹》,法老王权杖(攻击+20 领袖+2 人文+2),,
地中海,开罗,黄金面具,下4右下7,观察6,面具,开罗驿站,,,
地中海,开罗,巴斯特女神雕像,右上3右下6,人文4,,,,,
地中海,开罗,绿松石矿脉,下12右下3,身体38+财宝4,,,,,
地中海,尼罗河下游,太阳之船,上9左上2,观察8,,,,上4右上5,玛琳/造船5
地中海,尼罗河下游,帝王谷,右下8右上3,财宝6+人文3,谷中陵墓,亚历山大商业行会 贡献800,,,
地中海,尼罗河下游,纳芙蒂蒂半身像,左上1上3,,,支线任务【最美】,,,
地中海,尼罗河下游,富商继承人的宝藏,下2左下4,,,马尼拉道具店, 埃及耳环(人文+2 财宝+1),,
欧洲北部,伦敦,哈德良长城,上2左上6,拉丁语,,,,,
欧洲北部,伦敦,石中剑,下3左下7,身体45+领袖3,王者之剑,伦敦驿站, 石中剑(领袖+2),,
欧洲北部,伦敦,斯通亨奇巨石阵,下4左下1,,斯通亨奇巨石阵的线索,里斯本解读-《麦勒山庄》,,,
欧洲北部,伦敦,向阳的草场,左上9左下3,交涉5/格斗4/领袖5,,,本地新增交易品 羊毛,,
欧洲北部,伦敦,回城点,左上4左下5,,,,,,
欧洲北部,斯德哥尔摩,凯撒金币,下2左下4,观察2,,,,,
欧洲北部,斯德哥尔摩,维京符石,左上3左下2,学识45,符文,斯德哥尔摩驿站,,上5左上3,人文4
欧洲北部,斯德哥尔摩,木条教堂,左上7左下5,学识35,隐秘教堂,伦敦解读-《木艺指南》,,,
欧洲北部,斯德哥尔摩,挪威布道石,左下8,身体20,悬崖绝景,汉堡解读-《瓦尔德战记》,,,
欧洲北部,斯德哥尔摩,原始森林,上3左上9,财宝3,,,本地新增交易品 琥珀,,
欧洲北部,斯德哥尔摩,佐伊的踪迹,左下1左上5,,,菲奥娜触发支线【寻找佐伊】,,,
欧洲北部,斯德哥尔摩,回城点,上2左上8,,,,,,
欧洲北部,波罗的海东北,雪鸮,下5右下1,11~12月+生物5,雪地怪鸟,里加酒馆 贡献300,,,
欧洲北部,波罗的海东北,修道士宝藏,下9,,,韦拉克鲁斯道具店,维京铁甲(格斗+1),,
加勒比,韦拉克鲁斯,青春之泉,下10左下3,技巧60,生命之水,阿卜杜拉主线,,,
加勒比,韦拉克鲁斯,黑曜石锯剑,下12右下3,指反方向,,,,,
加勒比,韦拉克鲁斯,仪式短剑,左上5左下3,观察3,仪式秘密,韦拉克鲁斯 驿站, 仪式短剑(演奏+3),,
加勒比,韦拉克鲁斯,玛玛科拉,左下9左上2,,狼孩,韦拉克鲁斯 酒馆,新队友 玛玛科拉,,
加勒比,韦拉克鲁斯,特诺奇蒂特兰,下10左下9,选喝茶,特诺奇蒂特兰的线索,哈瓦那解读-《荒野神灵》,,,
加勒比,韦拉克鲁斯,哈瓦那酒吧女任务,下8,,,,,,
加勒比,韦拉克鲁斯,玛瑙矿床,下4左下5,财宝6,,,,,
加勒比,韦拉克鲁斯,回城点,下9右下1,,,,,,
加勒比,梅里达,战士神殿+玛雅天文台,下7右下2,,支线-星空,南大西洋,,下7右下3,
加勒比,梅里达,翡翠矿脉,下5右下9,财宝5,,,,,
加勒比,马拉开波,金刚鹦鹉,左下7左上6,身体32/技巧28,,,,,
加勒比,马拉开波,瓜达维达湖,左下8,交涉7（非必要）,黄金湖,里斯本解读-《暴殄天物》,,下10左下5,
加勒比,马拉开波,废弃的庄园+庄园探秘,下8左下10,,遗落的手绘图,贝鲁格特30级,,下9左下10,
加勒比,马拉开波,黄金矿脉,下13左下1,生物5+财宝5,,,,,
加勒比,马拉开波,回城点,左下7左上3,,,,,,
南美,利马,纳斯卡线条,下8右下5,技巧38,巨画,哈瓦那解读-《白线之行》,,,
南美,利马,波托西银山,下2右下13,交涉6,波托西银山的线索,里斯本解读-《矿难报告附信》,,,
南美,利马,印加玫瑰矿脉,右下3右上12,财宝7,,,本地新增交易品 印加玫瑰,,
南美,利马,回城点-东北,右下3右上10,,,,,,
南美,利马,回城点-右下,下2右下10,,,,,,
南美,加拉帕戈斯,火烈鸟,任意水域触发,医术5,红色鸟群,通贝斯茶馆 贡献300,,,
南美,加拉帕戈斯,玉米栽培方法,上1右上7,交涉6+生物4,,云睦 第四章,,,
南美,加拉帕戈斯,孤岛宝藏,上11左上5,,,马拉开波船材店, 黄金人脸吊坠(交涉+1 财宝+2),,
南美,加拉帕戈斯,回城点,上12,,,,,,
其它,北美西部,科罗拉多大峡谷,上3右上8,,科罗拉多大峡谷的线索,哈瓦那解读-《峡光》,,,
其它,北美西部,琼斯探险队宝箱,上12右上2,,,热那亚书店, 猫头浮雕戒指(观察+2 地理+1),,
其它,北美西部,回城点,上10右上6,,,,,,
冰岛,冰岛南部,林迪思法恩福音书,下6,,,冰岛支持度14%,,,
冰岛,冰岛南部,维京废墟,右下6右上1,如尼文,,冰岛支持度14%,,,
冰岛,冰岛南部,蓝牙王的宝藏,右下7下3,,,冰岛支持度14%,金制烛台+萤石X5,,
冰岛,冰岛南部,硫磺,右下2下8,挑选4,,,本地新增交易品 硫磺,,
冰岛,冰岛西部,蓝湖温泉,左下5下4,地理3,,冰岛支持度58% 驿站,,,
冰岛,冰岛西部,萤石,左下4左上7,地理6,,冰岛支持度58%,本地新增交易品 萤石,,
冰岛,冰岛西部,瓦尔基里的宝藏,上3左上6,,,冰岛支持度58%,,,
冰岛,冰岛北部,金锚链,上7左上13,技巧68身体58,,菲奥娜 第三章,,,
冰岛,冰岛北部,熔岩珠,左上10上1,财宝8,,,本地新增交易品 熔岩珠,,
冰岛,冰岛北部,罗洛大公的宝藏,左上1上14,,,,,,
